Product_Name,Price,Discount,Category
Cheese Cubes,₹221.47,32% OFF,?q=dairy&nc=as
Farm Fresh Curd - No Preservatives,₹226,20% OFF,?q=dairy&nc=as
Roast Almond Chocolate Bar,₹243.01,6% OFF,?q=dairy&nc=as
The Laughing Cow Cheese Slices,₹324.97,20% OFF,?q=dairy&nc=as
Dahi - Made From Toned Milk,₹100,25% OFF,?q=dairy&nc=as
Oreo Valentine's Gift Pack Chocolate Bar,₹351.01,₹39 OFF,?q=dairy&nc=as
Acti Plus Dahi - With Probiotics,₹71.5,5% OFF,?q=dairy&nc=as
Paneer,₹160.2,₹38 OFF,?q=dairy&nc=as
Home Treats Valentine's Gift Pack Chocolate Bar,₹321.86,₹34 OFF,?q=dairy&nc=as
Chocolate Home Treats Pack,₹273.6,,?q=dairy&nc=as
Fruit & Nut Valentine's Gift Pack Chocolate Bar,₹310.68,,?q=dairy&nc=as
Dairy Whitener,₹89.3,,?q=dairy&nc=as
Miniatures Premium Assorted Chocolate - Diwali Gift Pack,₹520,,?q=dairy&nc=as
Heart Blush Valentine's Chocolate Gift Pack,₹266.25,,?q=dairy&nc=as
Bubbly Valentine's Gift Pack Chocolate Bar,₹351.01,,?q=dairy&nc=as
Pasteurized Table Butter,₹57,,?q=dairy&nc=as
Roast Almond Valentine's Gift Pack Chocolate Bar,₹351.98,,?q=dairy&nc=as
Dailycious PP Curd,₹34,,?q=dairy&nc=as
Cheese Slice - Processed Spread,₹301.5,,?q=dairy&nc=as
Dairy Milk Chocolate Bar - Crispello,,,?q=dairy&nc=as
Pure Ghee/Tuppa,₹699,13% OFF,?q=dairy&nc=as
GoodLife Toned Milk,₹28.2,6% OFF,?q=dairy&nc=as
Desi White Ghee,₹599,17% OFF,?q=dairy&nc=as
Pasteurised Toned Milk,₹44,19% OFF,?q=dairy&nc=as
Shubham Milk,₹50,4% OFF,?q=dairy&nc=as
Daily Health Toned Milk,₹31,₹8 OFF,?q=dairy&nc=as
Pure Cow Ghee,₹725,40% OFF,?q=dairy&nc=as
Curd,₹25,₹54 OFF,?q=dairy&nc=as
Badam Pista Shrikhand,₹120,17% OFF,?q=dairy&nc=as
Flavoured Milk - Pista,₹112,25% OFF,?q=dairy&nc=as
Processed Cheese Slices,₹208.99,6% OFF,?q=dairy&nc=as
Fruit & Nut Chocolate Bar,₹486.02,15% OFF,?q=dairy&nc=as
Fruit Yoghurt - Mango,₹175,₹15 OFF,?q=dairy&nc=as
Mishti Doi,₹140,6% OFF,?q=dairy&nc=as
Chocolate Bar,₹322.34,15% OFF,?q=dairy&nc=as
"Bites - Hazelnut, Roasted & Chocolate Coated",₹112.5,18% OFF,?q=dairy&nc=as
Chocolate Shots,₹28.2,16% OFF,?q=dairy&nc=as
Masti Buttermilk - Spice,₹140,₹27 OFF,?q=dairy&nc=as
Dairy Cream,₹48.23,24% OFF,?q=dairy&nc=as
Paneer - Rich In Calcium,₹222.32,₹39 OFF,?q=dairy&nc=as
Everyday Dairy Whitener - Milk Powder For Tea,₹28.2,11% OFF,?q=dairy&nc=as
Tofu,₹84,11% OFF,?q=dairy&nc=as
Butter - Pasteurized,₹550,27% OFF,?q=dairy&nc=as
Cheese Cubes,₹221.47,32% OFF,?q=dairy&nc=as
Farm Fresh Curd - No Preservatives,₹226,20% OFF,?q=dairy&nc=as
Roast Almond Chocolate Bar,₹243.01,6% OFF,?q=dairy&nc=as
The Laughing Cow Cheese Slices,₹324.97,20% OFF,?q=dairy&nc=as
Dahi - Made From Toned Milk,₹100,25% OFF,?q=dairy&nc=as
Oreo Valentine's Gift Pack Chocolate Bar,₹351.01,₹39 OFF,?q=dairy&nc=as
Acti Plus Dahi - With Probiotics,₹71.5,5% OFF,?q=dairy&nc=as
Paneer,₹160.2,₹38 OFF,?q=dairy&nc=as
Home Treats Valentine's Gift Pack Chocolate Bar,₹321.86,₹34 OFF,?q=dairy&nc=as
Chocolate Home Treats Pack,₹273.6,,?q=dairy&nc=as
Fruit & Nut Valentine's Gift Pack Chocolate Bar,₹310.68,,?q=dairy&nc=as
